,romantic,Medu,Fedu,G3,health,age
0,no,4,4,6,3,18
1,no,1,1,6,3,17
2,no,1,1,10,3,15
3,yes,4,2,15,5,15
4,no,3,3,10,5,16
5,no,4,3,15,5,16
6,no,2,2,11,3,16
7,no,4,4,6,1,17
8,no,3,2,19,1,15
9,no,3,4,15,5,15
10,no,4,4,9,2,15
11,no,2,1,12,4,15
12,no,4,4,14,5,15
13,no,4,3,11,3,15
14,yes,2,2,16,3,15
15,no,4,4,14,2,16
16,no,4,4,14,2,16
17,no,3,3,10,4,16
18,no,3,2,5,5,17
19,no,4,3,10,5,16
20,no,4,3,15,1,15
21,no,4,4,15,5,15
22,no,4,2,16,5,16
23,no,2,2,12,5,16
24,no,2,4,8,5,15
25,no,2,2,8,5,16
26,no,2,2,11,5,15
27,no,4,2,15,1,15
28,no,3,4,11,5,16
29,yes,4,4,11,5,16
30,no,4,4,12,5,15
31,no,4,4,17,5,15
32,yes,4,3,16,5,15
33,no,3,3,12,2,15
34,no,3,2,15,5,16
35,no,2,3,6,5,15
36,no,4,3,18,4,15
37,yes,4,4,15,5,16
38,no,3,4,11,5,15
39,no,2,2,13,2,15
40,yes,2,2,11,3,16
41,yes,4,4,12,5,15
42,no,4,4,18,5,15
43,no,2,2,11,1,15
44,no,2,2,9,5,16
45,yes,4,3,6,5,15
46,no,3,3,11,3,16
47,no,4,3,20,2,16
48,no,4,2,14,5,15
49,no,4,4,7,3,15
50,no,2,2,13,4,16
51,no,4,2,13,5,15
52,no,4,2,10,5,15
53,no,4,4,11,5,15
54,no,3,3,13,1,15
55,yes,2,1,10,2,16
56,no,4,3,15,1,15
57,no,4,4,15,5,15
58,no,1,2,9,5,15
59,no,4,2,16,5,16
60,no,4,4,11,4,16
61,yes,1,1,11,5,16
62,no,1,2,9,1,16
63,no,4,3,9,4,16
64,yes,4,3,10,2,15
65,no,4,3,15,1,16
66,yes,4,4,12,3,15
67,no,3,1,6,5,16
68,no,2,2,8,4,15
69,no,3,1,16,3,15
70,no,3,1,15,5,16
71,no,4,2,10,3,15
72,yes,1,1,5,5,15
73,no,3,1,14,5,16
74,no,3,3,11,5,16
75,no,4,3,10,5,15
76,no,4,0,10,1,15
77,yes,2,2,11,3,16
78,no,2,1,10,3,17
79,no,3,4,5,3,16
80,yes,2,3,12,3,15
81,no,2,3,11,5,15
82,no,3,2,6,5,15
83,no,2,2,15,4,15
84,no,1,1,10,4,15
85,yes,4,4,8,5,15
86,no,2,2,6,2,16
87,no,4,2,14,1,15
88,no,2,2,10,3,16
89,no,4,4,7,5,16
90,yes,3,3,8,4,16
91,no,4,3,18,1,15
92,no,3,1,6,2,16
93,no,4,2,10,1,16
94,no,2,2,14,4,15
